품목기준코드,제품명,제품영문명,업체명,업체영문명,주성분,첨가제,품목분류,전문의약품,주성분영문,효능
202203147,메가본정,Megabon Tab.,하이플생명과학(주),"DIDBIO Co.,Ltd",콘드로이틴설페이트나트륨/푸르설티아민/니코틴산아미드/아스코르브산/피리독신염산염/시아노코발라민1000배산/이노시톨/판토텐산칼슘/리보플라빈/γ-오리자놀,"미결정셀룰로오스,스테아르산마그네슘,경질무수규산,탭쉴드갈색(59B346),전분글리콜산나트륨",,일반의약품,Sodium Chondroitin Sulfate/Fursultiamine/Nicotinamide/Ascorbic Acid/Pyridoxine Hydrochloride/Cyanocobalamin Powder 0.1%/Inositol/Calcium Pantothenate/Riboflavin/Gamma-Oryzanol,"1. 다음경우의 비타민 B1, B2, B6, C 의 보급 - 육체피로, 임신ㆍ수유기, 병중ㆍ병후(병을 앓는 동안이나 회복 후)의 체력저하시 2. 이 약에 함유된 비타민 등의 효능·효과는 다음과 같다. - 다음 증상의 완화 : 신경통, 근육통, 관절통(요통, 어깨결림 등) - 각기, 눈의피로 - 구각염(입꼬리염), 구순염(입술염), 구내염(입안염), 설염(혀염), 습진, 피부염"
201707030,메가비액티브정,Mega B Active Tab.,동성제약(주),"DONGSUNG BIO PHARM. CO., LTD",벤포티아민/리보플라빈/리보플라빈부티레이트/니코틴산아미드/판토텐산칼슘/피리독신염산염/피리독살포스페이트수화물/비오틴/폴산/히드록소코발라민아세트산염/이노시톨/콜린타르타르산염/아스코르브산과립97%/산화아연/토코페롤아세테이트 2배산/셀레늄함유건조효모/농축콜레칼시페롤(분말형)/우르소데옥시콜산/감마오리자놀,"저치환도히드록시프로필셀룰로오스,미결정셀룰로오스,유당수화물,바닐라미크론,탭쉴드노란색(21Y024),콜로이드성이산화규소,스테아르산마그네슘,전분글리콜산나트륨,히드록시프로필셀룰로오스",,일반의약품,Benfotiamine/Riboflavin/Riboflavin Butyrate/Nicotinamide/Calcium Pantothenate/Pyridoxine Hydrochloride/Pyridoxal Phosphate Hydrate/Biotin/Folic Acid/Hydroxocobalamin Acetate/Inositol/Choline Tartrate/Ascorbic Acid Granules 97%/Zinc Oxide/Tocopherol Acetate Powder 50%/Selenium In Dried Yeast/Cholecalciferol Concentrate Powder/Ursodeoxycholic Acid/Gamma-Oryzanol,"- 육체피로 - 임신•수유기 - 병중•병후(병을 앓는 동안이나 회복 후)의 체력저하시 - 발육기 - 노년기 - 뼈, 이의 발육불량 - 구루병의 예방 - 각기 - 눈의 피로 - 다음 증상의 완화 : 신경통, 근육통, 관절통(요(허리)통, 어깨결림 등), 구각염(입꼬리염), 구순염(입술염), 구내염(입안염), 설염(혀염), 습진, 피부염"
201306969,메가비콤정,Megabicom Tab.,(주)에이프로젠바이오로직스,Aprogen Biologics Inc.,콜린타르타르산염/이노시톨/γ-오리자놀/티아민질산염/리보플라빈/니코틴산아미드/폴산/판토텐산칼슘/피리독신염산염/d-비오틴/시아노코발라민/아스코르브산,"미결정셀룰로오스,크로스포비돈,유당수화물,탭쉴드흰색(19W623),콜로이드성이산화규소,스테아르산마그네슘,카르나우바납,탭쉴드갈색(59B346),전분글리콜산나트륨,히드록시프로필셀룰로오스",,일반의약품,Choline Tartrate/Inositol/Gamma-Oryzanol/Thiamine Nitrate/Riboflavin/Nicotinamide/Folic Acid/Calcium Pantothenate/Pyridoxine Hydrochloride/D-Biotin/Cyanocobalamin/Ascorbic Acid,"○ 다음 경우의 비타민 B1, B2, B6, C의 보급 - 육체피로 - 임신·수유기 - 병중·병후(병을 앓는 동안이나 회복 후)의 체력저하시 - 이 약에 함유된 비타민의 효능·효과는 다음과 같다. 1) 비타민B1(티아민질산염) · 다음 증상의 완화: 신경통, 근육통, 관절통(요통, 어깨결림 등) · 각기 · 눈의피로 2) 비타민B2(리보플리빈), 비타민B6(피리독신염산염) · 다음 증상의 완화: 구각염(입꼬리염), 구순염(입술염), 구내염(입안염), 설염(혀염), 습진, 피부염"
202107319,메가비텐액티브정,Megaviten Active Tablet,동국제약(주),"Dongkook Pharmaceutical Co.,Ltd.",벤포티아민/리보플라빈부티레이트/니코틴산아미드/판토텐산칼슘/피리독살포스페이트수화물/히드록소코발라민아세트산염/비오틴/폴산/콜린타르타르산염/이노시톨/아스코르브산/토코페롤아세테이트 2배산/농축콜레칼시페롤(분말형)/셀레늄함유건조효모/산화마그네슘/산화아연/유비데카레논/감마-오리자놀/우르소데옥시콜산,"탭쉴드갈색(99B722),저치환도히드록시프로필셀룰로오스,미결정셀룰로오스,유당수화물,탭쉴드흰색(19W623),콜로이드성이산화규소,스테아르산마그네슘,전분글리콜산나트륨,히드록시프로필셀룰로오스",,일반의약품,Benfotiamine/Riboflavin Butyrate/Nicotinamide/Calcium Pantothenate/Pyridoxal Phosphate Hydrate/Hydroxocobalamin Acetate/Biotin/Folic Acid/Choline Tartrate/Inositol/Ascorbic Acid/Tocopherol Acetate Powder 50%/Cholecalciferol Concentrate Powder/Selenium In Dried Yeast/Magnesium Oxide/Zinc Oxide/Ubidecarenone/Gamma-Oryzanol/Ursodeoxycholic Acid,"- 육체피로 - 임신 · 수유기 - 병중 · 병후(병을 앓는 동안이나 회복 후)의 체력저하시 - 발육기 - 노년기 - 뼈, 이의 발육불량 - 구루병의 예방 - 각기 - 눈의피로 - 다음 증상의 완화 : 신경통, 근육통, 관절통(요(허리) 통, 어깨결림 등), 구각염(입꼬리염), 구순염(입술 염), 구내염(입안염), 설염(혀염), 습진, 피부염"
201800123,메가비텐정,Megaviten Tablet,동국제약(주),"Dongkook Pharmaceutical Co.,Ltd.",γ-오리자놀/니코틴산아미드/리보플라빈/벤포티아민/비오틴/산화아연/시아노코발라민1000배산/우르소데옥시콜산/이노시톨/제피아스코르브산/콜레칼시페롤농축분말/콜린타르타르산염/토코페롤아세테이트 2배산/판토텐산칼슘/폴산/피리독신염산염,"오파드라이빨간색(200F650003),미결정셀룰로오스,폴리에틸렌글리콜6000,스테아르산마그네슘,크로스카멜로오스나트륨,경질무수규산,전분글리콜산나트륨,히드록시프로필셀룰로오스",,일반의약품,Gamma-Oryzanol/Nicotinamide/Riboflavin/Benfotiamine/Biotin/Zinc Oxide/Cyanocobalamin Powder 0.1%/Ursodeoxycholic Acid/Inositol/Ascorbic Acid Coated/Cholecalciferol Concentrate Powder/Choline Tartrate/Tocopherol Acetate Powder 50%/Calcium Pantothenate/Folic Acid/Pyridoxine Hydrochloride,"○ 다음경우의 비타민 B1, B2, B6, C, D, E의 보급 - 육체피로, 임신‧수유기, 병중‧병후(병을 앓는 동안이나 회복 후)의 체력저하시, 발육기, 노년기 - 이 약에 함유된 비타민 등의 효능‧효과는 다음과 같다. ‧다음 증상의 완화 : 신경통, 근육통, 관절통(요통, 어깨결림 등), 구각염(입꼬 리염), 구순염(입술염), 구내염(입안염), 설염(혀염), 습진, 피부염, ‧각기‧눈의 피로 · 뼈, 이의 발육불량 · 구루병의 예방 ○ 아연의 보급"
202107976,메가비텐프리미엄정,Megaviten Premium Tablet,동국제약(주),"Dongkook Pharmaceutical Co.,Ltd.",비오틴/폴산/콜레칼시페롤농축물(분말형)/감마-오리자놀/유비데카레논/우르소데옥시콜산/벤포티아민/리보플라빈/판토텐산칼슘/니코틴산아미드/피리독신염산염/시아노코발라민 1000배산/이노시톨/콜린타르타르산염/아스코르브산 과립97%/산화마그네슘/산화아연/토코페롤아세테이트 2배산/셀레늄함유건조효모,"저치환도히드록시프로필셀룰로오스,미결정셀룰로오스,히프로멜로오스,유당수화물,스테아르산마그네슘,콜로이드성이산화규소,탭쉴드갈색(29B061),전분글리콜산나트륨,히드록시프로필셀룰로오스",,일반의약품,Biotin/Folic Acid/Cholecalciferol Concentrate Powder/Gamma-Oryzanol/Ubidecarenone/Ursodeoxycholic Acid/Benfotiamine/Riboflavin/Calcium Pantothenate/Nicotinamide/Pyridoxine Hydrochloride/Cyanocobalamin Powder 0.1%/Inositol/Choline Tartrate/Ascorbic Acid Granules 97%/Magnesium Oxide/Zinc Oxide/Tocopherol Acetate Powder 50%/Selenium In Dried Yeast,"- 육체피로 - 임신․수유기 - 병중․병후(병을 앓는 동안이나 회복 후)의 체력저하시 - 발육기 - 노년기 - 뼈, 이의 발육불량 - 구루병의 예방 - 각기 - 눈의 피로 - 다음 증상의 완화 : 신경통, 근육통, 관절통(요통, 어깨결림 등), 구각염(입꼬리염), 구순염(입술염), 구내염(입안염), 설염(혀염), 습진, 피부염"
202006096,메가삼백정,Mega300 Tablet,(주)유한양행,YUHAN Coporation,벤포티아민/피리독신염산염,"미결정셀룰로오스,유당수화물,스테아르산마그네슘,카르복시메틸셀룰로오스칼슘,탤크,오파드라이 노랑 (QX 321A620000),히드록시프로필셀룰로오스",,일반의약품,Benfotiamine/Pyridoxine Hydrochloride,비타민 B1및 B6결핍으로 인한 신경계 질환
202300922,메가센타액,Megacenta Liquid,동국제약(주),"Dongkook Pharmaceutical Co.,Ltd.",자하거 엑스/티아민질산염/리보플라빈포스페이트나트륨/피리독신염산염/니코틴산아미드/카페인무수물,"시트르산수화물,벤조산나트륨,파인애플향,효소처리스테비아,시트르산나트륨수화물,디소르비톨액,에리스리톨,정제수",,일반의약품,Human Placenta Extract/Thiamine Nitrate/Riboflavin Sodium Phosphate/Pyridoxine Hydrochloride/Nicotinamide/Anhydrous Caffeine,"자양강장, 허약체질, 육체피로, 병후의 체력저하, 식욕부진, 영양장애, 발열성ㆍ소모성 질환"
201801882,메가엑트액(시트룰린말산염),Mega-act solution,하나제약(주),"Hana Pharm. Co., Ltd.",시트룰린말산염,"벤조산나트륨,수산화나트륨,오렌지엣센스#46-FI,백당,잔탄검,수크랄로오스,정제수",,일반의약품,Citrulline Malate,기능 무력증의 보조치료
202106143,메가원정,Megaone Tab.,하나제약(주),"Hana Pharm. Co., Ltd.",피리독신염산염/d-비오틴/시아노코발라민/토코페롤아세테이트 2배산/폴산/벤포티아민/니코틴산아미드/판토텐산칼슘/산화아연/아스코르브산/우르소데옥시콜산/이노시톨/리보플라빈/콜린타르타르산염/셀레늄함유건조효모,"미결정셀룰로오스(101),유당수화물,탭쉴드흰색(19W623),콜로이드성이산화규소,스테아르산마그네슘,카르나우바납,탭쉴드갈색(59B346),미결정셀룰로오스(102),유당수화물(직타용),전분글리콜산나트륨,히드록시프로필셀룰로오스",,일반의약품,Pyridoxine Hydrochloride/D-Biotin/Cyanocobalamin/Tocopherol Acetate Powder 50%/Folic Acid/Benfotiamine/Nicotinamide/Calcium Pantothenate/Zinc Oxide/Ascorbic Acid/Ursodeoxycholic Acid/Inositol/Riboflavin/Choline Tartrate/Selenium In Dried Yeast,"○ 다음 경우의 비타민 E, B1, B2, B6, C의 보급 - 육체피로 - 임신‧수유기 - 병중‧병후(병을 앓는 동안이나 회복 후)의 체력저하시 - 노년기 - 이 약에 함유된 비타민 등의 효능‧효과는 다음과 같다. 1. 비타민B1(벤포티아민) · 다음 증상의 완화: 신경통, 근육통, 관절통(요통, 어깨결림 등) · 각기 · 눈의 피로 2. 비타민B2(리보플라빈), 비타민B6(피리독신염산염) · 다음 증상의 완화: 구각염(입꼬리염), 구순염(입술염), 구내염(입안염), 설염(혀염), 습진, 피부염 ○ 아연의 보급"
202400366,메가원플러스정,Megaone Plus Tab.,하나제약(주),"Hana Pharm. Co., Ltd.",시아노코발라민 1000배산/리보플라빈/폴산/제피아스코르브산/산화아연/피리독신염산염/니코틴산아미드/판토텐산칼슘/벤포티아민/d-비오틴/콜린타르타르산염/이노시톨/우르소데옥시콜산/토코페롤아세테이트 2배산/감마-오리자놀/콜레칼시페롤농축분말/산화마그네슘/셀레늄함유건조효모/유비데카레논,"크로스카르멜로오스나트륨,오파드라이빨간색(200F650003),미결정셀룰로오스,폴리에틸렌글리콜6000,스테아르산마그네슘,경질무수규산,전분글리콜산나트륨,히드록시프로필셀룰로오스",,일반의약품,Cyanocobalamin Powder 0.1%/Riboflavin/Folic Acid/Ascorbic Acid Coated/Zinc Oxide/Pyridoxine Hydrochloride/Nicotinamide/Calcium Pantothenate/Benfotiamine/D-Biotin/Choline Tartrate/Inositol/Ursodeoxycholic Acid/Tocopherol Acetate Powder 50%/Gamma-Oryzanol/Cholecalciferol Concentrate Powder/Magnesium Oxide/Selenium In Dried Yeast/Ubidecarenone,"- 육체피로 - 임신·수유기 - 병중·병후 - 발육기 - 노년기 - 이 약에 함유된 비타민 등의 효능·효과는 다음과 같다. • 뼈, 이의 발육불량 • 구루병의 예방 • 다음 증상의 완화 : 신경통, 근육통, 관절통(요통, 어깨결림 등), 구각염(입꼬리염), 구순염(입술염), 구내염(입안염), 설염(혀염), 습진, 피부염 • 각기 • 눈의피로"
200201705,메가케토겔(피록시캄),Megaketo Gel(Piroxicam),오스틴제약(주),"Austin pharm.co.,Ltd",피록시캄,"프로필렌글리콜,디엘-캄파,벤질알코올,히프로멜로오스,트롤아민,에탄올(95),폴리소르베이트20,카보머 940,D-소르비톨액 70%,엘-멘톨,히드록시프로필셀룰로오스,정제수",,일반의약품,Piroxicam,"다음 질환 및 증상의 진통ㆍ소염 : 퇴행성관절염(골관절염), 어깨관절주위염, 건ㆍ건초염, 건주위염, 상완골상과염(테니스 엘보우 등), 근육통(근염, 근막염 등), 외상후의 종창ㆍ동통 퇴행성관절염(골관절염), 건초염, 근육통, 골관절통, 외상후 동통 및 골절치유후의 동통"
201803248,메가콘600정,Megachon 600 Tab.,(주)경보제약,kyongbo pharma,콘드로이틴설페이트나트륨/푸르설티아민/니코틴산아미드/이노시톨/콜린타르타르산염/판토텐산칼슘/시아노코발라민 1000배산/피리독신염산염/리보플라빈/감마오리자놀/콜레칼시페롤과립,"미결정셀룰로오스,히프로멜로오스,스테아르산마그네슘,카르복시메틸셀룰로오스칼슘,경질무수규산,전분글리콜산나트륨,히드록시프로필셀룰로오스,탭쉴드 갈색 91B749",,일반의약품,Sodium Chondroitin Sulfate/Fursultiamine/Nicotinamide/Inositol/Choline Tartrate/Calcium Pantothenate/Cyanocobalamin Powder 0.1%/Pyridoxine Hydrochloride/Riboflavin/Gamma-Oryzanol/Cholecalciferol Granules,"1. 다음경우의 비타민 D, B1, B2,B6의 보급 - 육체피로 - 임신ᆞ수유기 - 병중ᆞ병후(병을 앓는 동안이나 회복 후)의 체력저하 시 - 발육기 - 노년기 2. 이 약에 함유된 비타민 등의 효능ᆞ효과는 다음과 같다. - 다음 증상의 완화 : 신경통, 근육통, 관절통(요통, 어깨결림 등) - 각기 - 눈의 피로"
202401073,메가콘로엠정,Megachonlo M Tab.,(주)마더스제약,MOTHER'S PHARMACEUTICAL.,콘드로이틴설페이트나트륨/티아민질산염/콜레칼시페롤 과립,"크로스카르멜로오스나트륨,미결정셀룰로오스,히프로멜로오스,코포비돈,유당수화물,탭쉴드주황색(29O1352),폴리에틸렌글리콜6000,스테아르산마그네슘,전분글리콜산나트륨",,일반의약품,Sodium Chondroitin Sulfate/Thiamine Nitrate/Cholecalciferol Granules,"1. 다음경우의 비타민 D, B1의 보급 - 육체피로 - 임신․수유기 - 병중․병후(병을 앓는 동안이나 회복 후)의 체력저하시 - 발육기 - 노년기 2. 이 약에 함유된 비타민 등의 효능․효과는 다음과 같다. ￭ 비타민 D(콜레칼시페롤과립) - 뼈, 이의 발육불량 - 구루병의 예방 ￭ 비타민B1(티아민질산염) - 다음 증상의 완화 : 신경통, 근육통, 관절통(요통(허리), 어깨결림 등) - 각기 - 눈의피로"
201502970,메가콘벤800정,Mega Conben 800 tablet,(주)동구바이오제약,"DongKoo Bio&Pharma Co., Ltd.",콘드로이틴설페이트나트륨/시아노코발라민1000배산/피리독신염산염/γ-오리자놀/벤포티아민,"오파드라이 노랑(85F12347 황색),폴리에틸렌글리콜6000,이산화규소,스테아르산마그네슘,D-만니톨",,일반의약품,Sodium Chondroitin Sulfate/Cyanocobalamin Powder 0.1%/Pyridoxine Hydrochloride/Gamma-Oryzanol/Benfotiamine,"1) 육체피로 2) 임신 수유기, 3) 병중 병후(병을 앓는 동안이나 회복 후)의 체력저하 4) 이 약에 함유된 비타민 등의 효능효과는 다음과 같다. - 비타민B1(벤포티아민), 비타민B6(피리독신염산염) : 신경통, 근육통, 관절통(요통, 어깨결림 등), 각기, 눈의 피로, 구각염(입꼬리염), 구순염(입술염), 구내염(입안염), 설염(혀염), 습진, 피부염"
201109826,메가콘사민-에프연질캡슐,Megachonsamin-F Soft Cap,(주)테라젠이텍스,"THERAGEN ETEX CO., LTD.",콘드로이틴설페이트나트륨/푸르설티아민/리보플라빈부티레이트/니코틴산아미드/판토텐산칼슘/피리독신염산염/시아노코발라민/토코페롤아세테이트/γ-오리자놀,"콩기름,레시틴,황색5호,에틸바닐린,젤라틴,소르비톨액(비결정성),산화티탄,적색40호,팜유,백납,농글리세린",,일반의약품,Sodium Chondroitin Sulfate/Fursultiamine/Riboflavin Butyrate/Nicotinamide/Calcium Pantothenate/Pyridoxine Hydrochloride/Cyanocobalamin/Tocopherol Acetate/Gamma-Oryzanol,"다음 경우의 비타민(E, B1, B2, B6)의 보급 - 육체피로 - 임신·수유기 - 병중·병후(병을 앓는 동안이나 회복 후)의 체력저하시 - 노년기 - 이 약에 함유된 비타민 등의 효능·효과는 다음과 같다. • 말초혈행장애 및 갱년기시 다음 증상의 완화 : 어깨·목결림, 수족저림·수족냉증(손발이 차가움) • 다음 증상의 완화 : 신경통, 근육통, 관절통(요통, 어깨결림 등) • 각기 • 눈의 피로 • 다음 증상의 완화 : 구각염(입꼬리염), 구순염(입술염), 구내염(입안염), 설염(혀염), 습진, 피부염"
202400751,메가콘티800정,Megachonti 800 Tablet,동국제약(주),"Dongkook Pharmaceutical Co.,Ltd.",콘드로이틴설페이트나트륨/벤포티아민/니코틴산아미드/피리독신염산염/판토텐산칼슘/리보플라빈/콜레칼시페롤농축분말/메코발라민/산화마그네슘/시트르산칼슘수화물,"유당수화물,스테아르산마그네슘,경질무수규산,탭쉴드노란색(52Y241),전분글리콜산나트륨",,일반의약품,Sodium Chondroitin Sulfate/Benfotiamine/Nicotinamide/Pyridoxine Hydrochloride/Calcium Pantothenate/Riboflavin/Cholecalciferol Concentrate Powder/Mecobalamin/Magnesium Oxide/Calcium Citrate Hydrate,"1. 다음 경우의 비타민 B1, B2, B6, D 의 보급 - 육체피로 - 임신·수유기 - 병중·병후(병을 앓는 동안이나 회복 후)의 체력저하 시 - 발육기 - 노년기 2. 이 약에 함유된 비타민 등의 효능·효과는 다음과 같다. - 뼈, 이의 발육불량 - 구루병의 예방 - 다음 증상의 완화 : 신경통, 근육통, 관절통(요통(허리), 어깨결림 등), 구각염(입꼬리염), 구순염(입술염), 구내염(입안염), 설염(혀염), 습진, 피부염 - 각기 - 눈의피로"
201105149,메가클린연질캡슐,MEGACLEAN SOFT CAP.,명문제약(주),"Myungmoon Pharm. Co., Ltd.",클로르페니라민말레산염/dl-메틸에페드린염산염/구아이페네신/덱스트로메토르판브롬화수소산염수화물,"프로필렌글리콜,폴리에틸렌글리콜400,솔비톨스페샬글리세린블렌드,젤라틴,포비돈,적색40호,정제수,청색1호",,일반의약품,Chlorpheniramine Maleate/DL-Methylephedrine Hydrochloride/Guaifenesin/Dextromethorphan Hydrobromide Hydrate,"기침, 가래"
200902450,메가토스씨정,Megatos C Tab.,태극제약(주),"TAI GUK PHARM. Co., Ltd.",토코페롤아세테이트 2배산/아스코르브산/폴산/티아민질산염/리보플라빈/니코틴산아미드/피리독신염산염/시아노코발라민/판토텐산칼슘/황산아연수화물,"유당수화물,포비돈,스테아르산마그네슘,탭쉴드 클리어(19C218),탭쉴드빨간색(59R379),전분글리콜산나트륨,히드록시프로필셀룰로오스",,일반의약품,Tocopherol Acetate Powder 50%/Ascorbic Acid/Folic Acid/Thiamine Nitrate/Riboflavin/Nicotinamide/Pyridoxine Hydrochloride/Cyanocobalamin/Calcium Pantothenate/Zinc Sulfate Hydrate,"- 육체피로 - 임신ㆍ수유기 - 병중ㆍ병후(병을 앓는 동안이나 회복 후)의 체력저하시 - 노년기 - 이 약에 함유된 비타민 등의 효능ㆍ효과는 다음과 같다. - 다음 증상의 완화 : 구각염(입꼬리염), 구순염(입술염), 구내염(입안염), 설염(혀염), 습진, 피부염"
201309612,메가트루골드정,Megatrue Gold Tablet,(주)유한양행,YUHAN Coporation,β-카로틴20%과립/농축콜레칼시페롤 산/토코페롤아세테이트 2배산/벤포티아민/리보플라빈/피리독신염산염/시아노코발라민100배산/아스코르브산과립97%/판토텐산칼슘/니코틴산아미드/d-비오틴1%/폴산/인산수소칼슘수화물/산화마그네슘/황산망간수화물/몰리브덴함유건조효모/셀레늄함유건조효모/산화아연/이노시톨/콜린타르타르산염/우르소데옥시콜산/콘드로이틴설페이트나트륨,"미결정셀룰로오스,크로스포비돈,이산화규소,탭쉴드흰색(29W925),스테아르산마그네슘,탭쉴드빨간색(29R727),탭쉴드노란색(29Y730)",,일반의약품,Beta-Carotene Granules 20%/Cholecalciferol Concentrate Powder/Tocopherol Acetate Powder 50%/Benfotiamine/Riboflavin/Pyridoxine Hydrochloride/Cyanocobalamin Powder 1%/Ascorbic Acid Granules 97%/Calcium Pantothenate/Nicotinamide/D-Biotin 1%/Folic Acid/Dibasic Calcium Phosphate Hydrate/Magnesium Oxide/Manganese Sulfate Hydrate/Molybden in Dried Yeast/Selenium In Dried Yeast/Zinc Oxide/Inositol/Choline Tartrate/Ursodeoxycholic Acid/Sodium Chondroitin Sulfate,- 육체피로 - 임신ㆍ수유기 - 병중ㆍ병후(병을 앓는 동안이나 회복 후)의 체력저하시 - 발육기 - 노년기 - 이 약에 함유된 비타민 등의 효능ㆍ효과는 다음과 같다. •비타민A(β-카로틴20% 과립) •비타민D(농축콜레칼시페롤 산) •비타민B1(벤포티아민) •비타민B2(리보플라빈)
202103624,메가트루맥스정,Megatrue Max Tablet,(주)유한양행,YUHAN Coporation,벤포티아민/비스벤티아민/리보플라빈/니코틴산아미드/판토텐산칼슘/피리독살포스페이트수화물/피리독신염산염97%과립/폴산/시아노코발라민 100배산/농축콜레칼시페롤 산/d-비오틴1%/산화마그네슘/셀레늄함유건조효모/산화아연/이노시톨/우르소데옥시콜산,"미결정셀룰로오스,크로스포비돈,오파드라이AMBII갈색(88A665000),이산화규소,스테아르산마그네슘",,일반의약품,Benfotiamine/Bisbentiamine/Riboflavin/Nicotinamide/Calcium Pantothenate/Pyridoxal Phosphate Hydrate/Pyridoxine Hydrochloride Powder 97%/Folic Acid/Cyanocobalamin Powder 1%/Cholecalciferol Concentrate Powder/D-Biotin 1%/Magnesium Oxide/Selenium In Dried Yeast/Zinc Oxide/Inositol/Ursodeoxycholic Acid,"○ 다음 경우의 비타민 D, B1, B2, B6의 보급 - 육체피로 - 임신∙수유기 - 병중∙병후(병을 앓는 동안이나 회복 후)의 체력저하시 - 발육기 - 노년기 - 이 약에 함유된 비타민 등의 효능∙효과는 다음과 같다. • 비타민D(농축콜레칼시페롤 산) ∙ 뼈, 이의 발육불량 ∙ 구루병의 예방 • 비타민B1(벤포티아민, 비스벤티아민) : ∙ 다음 증상의 완화 : 신경통, 근육통, 관절통(요(허리)통, 어깨결림 등) ∙ 각기 ∙ 눈의피로 • 비타민B2(리보플라빈), 비타민B6(피리독살포스페이트수화물, 피리독신염산염 97%과립) : ∙ 다음 증상의 완화 : 구각염(입꼬리염), 구순염(입술염), 구내염(입안염), 설염(혀염), 습진, 피부염 ○ 아연의 보급"
201700510,메가트루액티브정,Megatrue Active Tablet,(주)유한양행,YUHAN Coporation,벤포티아민/리보플라빈부티레이트/니코틴산아미드/피리독살포스페이트수화물/판토텐산칼슘/시아노코발라민100배산/아스코르브산과립97%/농축콜레칼시페롤 산/d-비오틴1%/이노시톨/우르소데옥시콜산/셀레늄함유건조효모/산화아연,"오파드라이분홍색(AMB80W640014),미결정셀룰로오스,크로스포비돈,이산화규소,스테아르산마그네슘,카르나우바납",,일반의약품,Benfotiamine/Riboflavin Butyrate/Nicotinamide/Pyridoxal Phosphate Hydrate/Calcium Pantothenate/Cyanocobalamin Powder 1%/Ascorbic Acid Granules 97%/Cholecalciferol Concentrate Powder/D-Biotin 1%/Inositol/Ursodeoxycholic Acid/Selenium In Dried Yeast/Zinc Oxide,- 육체피로 - 임신ㆍ수유기 - 병중ㆍ병후(병을 앓는 동안이나 회복 후)의 체력저하시 - 발육기 - 노년기 - 이 약에 함유된 비타민 등의 효능ㆍ효과는 다음과 같다.
202401096,메가트루육삼삼정,Megatrue Six-Three-Three tablet,(주)유한양행,YUHAN Coporation,벤포티아민/비스벤티아민/리보플라빈부티레이트/니코틴산아미드/판토텐산칼슘/피리독살포스페이트수화물/피리독신염산염97%과립/폴산/코바마미드/메코발라민/시아노코발라민 100배산/농축콜레칼시페롤 산/d-비오틴1%/산화마그네슘/아스파르트산마그네슘수화물/글리세로인산마그네슘/셀레늄함유건조효모/산화아연/이노시톨/콜린타르타르산염/우르소데옥시콜산/유비데카레논10%,"미결정셀룰로오스,크로스포비돈,이산화규소,탭쉴드흰색(29W925),스테아르산마그네슘,탭쉴드빨간색(29R727),탭쉴드노란색(29Y730)",,일반의약품,Benfotiamine/Bisbentiamine/Riboflavin Butyrate/Nicotinamide/Calcium Pantothenate/Pyridoxal Phosphate Hydrate/Pyridoxine Hydrochloride Powder 97%/Folic Acid/Cobamamide/Mecobalamin/Cyanocobalamin Powder 1%/Cholecalciferol Concentrate Powder/D-Biotin 1%/Magnesium Oxide/Magnesium Aspartate Hydrate/Magnesium Glycerophosphate/Selenium In Dried Yeast/Zinc Oxide/Inositol/Choline Tartrate/Ursodeoxycholic Acid/Ubidecarenone 10%,"○ 다음 경우의 비타민 B1, B2, B6, D의 보급 - 육체피로 - 임신∙수유기 - 병중∙병후(병을 앓는 동안이나 회복 후)의 체력저하시 - 발육기 - 노년기 - 이 약에 함유된 비타민 등의 효능∙효과는 다음과 같다. • 비타민B1(벤포티아민, 비스벤티아민) : ∙ 다음 증상의 완화 : 신경통, 근육통, 관절통(요통, 어깨결림 등) ∙ 각기 ∙ 눈의피로 • 비타민B6(피리독살포스페이트수화물, 피리독신염산염97%과립) ∙ 다음 증상의 완화 : 구각염(입꼬리염), 구순염(입술염), 구내염(입안염), 설염(혀염), 습진, 피부염 • 비타민D(농축콜레칼시페롤 산) ∙ 뼈, 이의 발육불량 ∙ 구루병의 예방 ○ 아연의 보급"
201802364,메가트루파워정,Megatrue Power Tablet,(주)유한양행,YUHAN Coporation,벤포티아민/리보플라빈/니코틴산아미드/판토텐산칼슘/피리독신염산염/시아노코발라민100배산/아스코르브산과립97%/농축콜레칼시페롤 산/피토나디온5%건조분말/d-비오틴1%/폴산/이노시톨/콜린타르타르산염/셀레늄함유건조효모/우르소데옥시콜산/산화아연/산화마그네슘,"미결정셀룰로오스,크로스포비돈,이산화규소,탭쉴드흰색(29W925),스테아르산마그네슘,카르나우바납,탭쉴드빨간색(29R727),탭쉴드노란색(29Y730)",,일반의약품,Benfotiamine/Riboflavin/Nicotinamide/Calcium Pantothenate/Pyridoxine Hydrochloride/Cyanocobalamin Powder 1%/Ascorbic Acid Granules 97%/Cholecalciferol Concentrate Powder/Phytonadione Dried Powder 5%/D-Biotin 1%/Folic Acid/Inositol/Choline Tartrate/Selenium In Dried Yeast/Ursodeoxycholic Acid/Zinc Oxide/Magnesium Oxide,"- 육체피로 - 임신∙수유기 - 병중∙병후(병을 앓는 동안이나 회복 후)의 체력저하시 - 발육기 - 노년기 - 이 약에 함유된 비타민 등의 효능∙효과는 다음과 같다. • 비타민D(농축콜레칼시페롤 산) • 비타민B1(벤포티아민) : • 비타민B2(리보플라빈), 비타민B6(피리독신염산염) :"
