제품명,효능
락토프린정,"설사, 복통(배아픔)을 수반하는 설사, 체함, 묽은 변, 토사"
락토필캡슐300밀리그램(락토바실루스아시도필루스균),"정장, 변비, 묽은 변, 복부팽만감, 장내 이상발효"
락투즈시럽(락툴로오스액),변비
락트케어로션12%(락트산암모늄액),"건조하고 거친 피부(건조증), 심상성어린선(魚鱗蘚)(보통어린선) 및 이로 인한 가려움의 일시적 완화"
락티손에이취씨현탁액2.5%(히드로코르티손),"습진, 피부염군, 피부가려움, 벌레물린데"
락티손에이취씨현탁액1%(히드로코르티손),"습진·피부염군, 피부가려움, 벌레물린데"
락티케어에취씨로션1%(히드로코르티손),"습진∙피부염군, 피부가려움, 벌레물린데"
락티케어에취씨로션2.5%(히드로코르티손),"습진∙피부염군, 피부가려움, 벌레물린데"
락티코트크림1%(히드로코르티손아세테이트),"습진ㆍ피부염군, 피부가려움, 벌레물린데"
"람노스과립 (수출명1: Allbio granules, 수출명2: Antibio Forte granules) (락토바실루스카제이변종람노수스)",장내균총의 정상화에 의한 정장 및 설사증상의 개선
람노스산(락토바실루스카제이변종람노수스),장내균총의 정상화에 의한 정장 및 설사증상의 개선
"람노스캡슐(락토바실루스카제이변종람노수스)(수출명1: 올바이오캡슐, 수출명2: 안티비오포르테캡슐)",장내균총의 정상화에 의한 정장 및 설사증상의 개선
람노스캡슐500밀리그램(락토바실루스카제이변종람노수스),장내균총의 정상화에 의한 정장 및 설사증상의 개선
랑스씨씨정," 습진, 여드름, 두드러기, 피부발진, 기미, 주근깨, 햇볕에 탄 부위 등의 색소침착증, 약물에 의한 피부염, 전신권태"
래반포르테주입크림,치열․치핵의 아픔․가려움․부종(부기)․출혈의 일시적 완화
래피콜노즈연질캡슐,"감기의 제증상(여러증상)(콧물, 코막힘, 재채기, 인후(목구멍)통, 오한(춥고 떨리는 증상), 발열, 두통, 관절통, 근육통)의 완화"
래피콜데이앤나잇연질캡슐,"(주간용) 감기의 제증상(여러증상)(콧물, 코막힘, 재채기, 인후(목구멍)통, 기침, 가래, 오한(춥고 떨리는 증상), 발열, 두통, 관절통, 근육통)의 완화 (야간용) 감기의 제증상(여러증상)(콧물, 코막힘, 재채기, 인후통(목구멍), 기침, 가래, 오한(춥고 떨리는 증상), 발열, 두통, 관절통, 근육통)의 완화"
래피콜에이캡슐,"감기의 제(여러)증상(콧물,코막힘,재채기,인후(목구멍)통,기침,가래,오한(춥고 떨리는 증상),발열,두통,관절통,근육통)의 완화"
래피콜코프플러스연질캡슐,"감기의 제증상(여러증상)(콧물, 코막힘, 재채기, 인후(목구멍)통, 기침, 가래, 오한(춥고 떨리는 증상), 발열, 두통, 관절통, 근육통)의 완화"
래피콜콜드연질캡슐,"감기의 제증상(여러증상)(콧물, 코막힘, 재채기, 인후(목구멍)통, 기침, 가래, 오한 (춥고 떨리는 증상), 발열, 두통, 관절통, 근육통)의 완화"
래피탈질정(클로트리마졸)(수출명:CATIOMA)(수출용),칸디다성 질염
래피탈질정500밀리그램(클로트리마졸),칸디다성 질염
랜시드정,"위통, 속쓰림, 소화불량, 구역"
랠리토닉연질캡슐,"1. 다음 경우의 비타민 A, B1, B2, B6, C, D, E의 보급 - 육체피로 - 임신ㆍ수유기 - 병중ㆍ병후(병을 앓는 동안이나 회복 후)의 체력저하시 - 발육기 - 노년기 - 이 약에 함유된 비타민 등의 효능ㆍ효과는 다음과 같다. ㆍ눈의 건조감의 완화 ㆍ야맹증(밤에 잘 못 보는 증상) ㆍ뼈, 이의 발육불량 ㆍ구루병의 예방"
러지엔톡액(세티리진염산염),"계절성 및 다년성 알레르기성 비염[코염], 알레르기성 결막염, 만성 특발성[원인 불명의] 두드러기, 피부소양증[가려움증]"
러지피드정,"(정제)(시럽제) 코감기, 알레르기 및 혈관운동성 코염에 의한 다음 증상의 완화 : 재채기, 콧물, 코막힘, 눈물 (캡슐제) 코감기, 알레르기 및 혈관운동성 코염에 의한 다음 증상의 완화 : 재채기, 콧물, 코막힘"
레날민정,"투석환자, 만성신부전에 의한 질소혈증환자의 비타민 B, C 보급"
레녹스카타플라스마(록소프로펜나트륨수화물),"다음 질환 및 증상의 진통ㆍ소염: 퇴행성관절염(골관절염), 근육통, 외상후의 종창, 통증"
레드넥콜연질캡슐,"기침, 가래"
레드니스리리프점안액(수출용),자극에 의한 눈의 충혈 및 건조상태의 일시적 경감
레드코프에프연질캡슐,"감기의 제증상(여러증상)(콧물, 코막힘, 재채기, 인후(목구멍)통, 기침, 오한(춥고 떨리는 증상), 발열, 두통, 관절통, 근육통)의 완화"
레드콜연질캡슐,"감기의 제증상(여러증상)(콧물, 코막힘, 재채기, 인후통, 기침, 오한(춥고 떨리는 증상), 발열, 두통, 관절통, 근육통)의 완화"
레디비타정,"- 육체피로, 임신·수유기, 병중·병후의 체력저하 시, 노년기 - 이 약에 함유된 비타민 등의 효능·효과는 다음과 같다."
레디클로질정(클로트리마졸),칸디다성 질염
레디페린-에프캡슐,철 결핍성 빈혈의 예방 및 치료
레모나씨플러스정,-육체피로 -임신·수유기 -병중·병후(병을 앓는 동안이나 회복 후)의 체력저하시 -노년기 - 이 약에 함유된 비타민 등의 효능·효과는 다음과 같다. ○ 아연의 보급
레모나일공일사정,"1. 다음 경우의 비타민C 보급: 육체피로, 임신, 수유기, 병중, 병후(병을 앓는 동안이나 회복 후)의 체력 저하시 2. 이 약에 함유된 비타민 등의 효능. 효과는 다음과 같다. -햇빛, 피부병 등에 의한 색소침착(기미, 주근깨)의 완화 -잇몸출혈, 비출혈(코피) 예방"
레바비트연질캡슐(수출용),"다음 질환의 보조 치료 : 만성 간질환, 독성 간질환"
레버틴연질캡슐(수출용),"다음 질환의 치료보조 : 만성간질환, 지방간, 간경변, 중독성 간장질환"
레베스정,"자양강장, 허약체질, 육체피로, 병중병후, 위장장해, 영양장해, 발열성소모질환, 임신수유기 등의 경우의 영양보급."
레보골드액,"다음 질환의 보조 치료 : 급ㆍ만성 간질환, 경증(가벼운증상)의 간부전(간기능상실)증, 간경변"
레보콤비에스액,"다음의 경우에 사용한다. - 간염의 후유증, 간기능 저하, 독소성 감염 상태의 치료 보조 - 거대적아구성 빈혈 치료 보조 또는 임신, 분만 후, 수유 시 - 비타민B12또는 폴산 결핍증후군 - 비타민 결핍, 항생제, 화학요법, 항암제 치료 시"
레비타점안액(폴리소르베이트80)(1회용),"눈의 건조증상의 완화, 자극의 일시적 경감"
레세톤연질캅셀(수출용),"심질환, 감염성 질환, 고혈압, 시력질환에 의한 여러 증상의 개선, 비타민 A 및 C의 보급"
레스타민코와파우더크림,"습진, 피부염, 미란(짓무름), 땀띠, 접촉성피부염, 가려움, 동상(언상처), 벌레물린데, 두드러기"
레스톤크림,"- 2차 감염된 알레르기성 또는 염증성 피부질환 : 습진, 접촉피부염, 지루피부염, 아토피피부염, 광피부염, 만성단순태선, 간찰진, 박탈피부염, 가려움, 건선 - 1도 화상"
레스톨캡슐,"치주치료 후 치은염, 경·중등도 치주염의 보조치료"
"레스피비엔액 (옥시메타졸린염산염), 레스피비엔액 프레쉬민트 (옥시메타졸린염산염)","부비동염, 알레르기 비염, 코감기(급성 비염)으로 인한 코막힘 증상의 완화"
레코비엠정,"1. 다음 경우의 비타민 E, B1, B2,B6의 보급 - 육체피로 - 임신ㆍ수유기 - 병중ㆍ병후(병을 앓는 동안이나 회복 후)의 체력저하 시 - 노년기 2. 이 약에 함유된 비타민 등의 효능·효과는 다음과 같다. - 말초혈행장애 및 갱년기시 다음 증상의 완화 : 어깨·목결림, 수족저림·수족냉증(손발이 차가움) - 다음 증상의 완화 : 신경통, 근육통, 관절통(요(허리)통, 어깨결림 등), 구각염(입꼬리염), 구순염(입술염), 구내염(입안염), 설염(혀염), 습진, 피부염, 각기, 눈의 피로 3. 마그네슘결핍으로 인한 근육경련"
레큐틴정(트리메부틴말레산염),"1) 식도역류 및 열공헤르니아,위 십이지장염, 위 십이지장궤양에 있어서의 소화기능이상 (복통, 소화불량,구역, 구토) 2) 과민성대장증후군 및 경련성 결장 3) 소아 질환 : 습관성 구토, 비감염성 장관통과장애 (변비, 설사)"
레티몰액(시트룰린말산염),기능 무력증의 보조치료
레티코연질캡슐,"감기의 제증상(여러증상)(콧물, 코막힘, 재채기, 인후(목구멍)통, 오한(춥고 떨리는 증상), 발열, 두통, 관절통, 근육통)의 완화"
레티코포르테연질캡슐,"감기의 제증상(여러증상)(콧물, 코막힘, 재채기, 인후(목구멍)통, 오한(춥고 떨리는 증상), 발열, 두통, 관절통, 근육통)의 완화"
레티코프연질캡슐,"감기의 제증상(여러증상)(인후(목구멍)통, 기침, 가래, 오한(춥고 떨리는 증상), 발열, 두통, 관절통, 근육통)의 완화"
레티콜연질캡슐,"감기의 제증상(여러증상)(콧물, 코막힘, 재채기, 인후(목구멍)통, 기침, 가래, 오한 (춥고 떨리는 증상), 발열, 두통, 관절통, 근육통)의 완화"
레티콜플러스연질캡슐,"감기의 제증상(여러증상)(콧물, 코막힘, 재채기, 인후(목구멍)통, 기침, 가래, 오한 (춥고 떨리는 증상), 발열, 두통, 관절통, 근육통)의 완화"
레포소정,"소화불량, 식욕감퇴(식욕부진), 과식, 체함, 소화촉진, 소화불량으로 인한 위부팽만감, 구역, 구토"
레프린점안액(카르복시메틸셀룰로오스나트륨)(수출용),"안구건조증이나 바람· 태양에 노출되어 생기는 화끈거리는 증상, 자극감, 불쾌감을 일시적으로 완화시킴, 자극감을 예방하기 위하여 사용할 수 있다."
레피드플렉스페인릴리빙롤온액(수출용),"- 삠, 타박상, 근육통, 관절통, 골절통, 요통, 어깨결림, 신경통, 류마티스통증 - 피부 가려움, 벌레 물린데 - 1도 화상"
레피즈캡슐(니푸록사지드),급성 세균성 설사
렉센에스연고,치열ㆍ치핵의 아픔ㆍ가려움ㆍ부종(부기)ㆍ출혈의 일시적 완화
렉센엔좌제,치열·치핵의 아픔·가려움·부종(부기)·출혈의 일시적 완화 및 소독
렉스민캡슐(디오스민),"1. 치질 2. 다음 질환에 의한 여러 증상(하지중압감, 동통, 부종 등)의 개선 : 정맥류, 정맥부전(임신시 포함), 정맥염후증후군 3. 모세혈관취약증에 의한 출혈증상 : 자반증"
렉스비타정,"○ 다음 경우의 비타민 E, B1, B2, B6, C의 보급 - 육체피로 - 임신‧수유기 - 병중‧병후(병을 앓는 동안이나 회복 후)의 체력저하시 - 노년기 - 이 약에 함유된 비타민 등의 효능‧효과는 다음과 같다. 1. 비타민B1(벤포티아민) · 다음 증상의 완화: 신경통, 근육통, 관절통(요통, 어깨결림 등) · 각기 · 눈의 피로 2. 비타민B2(리보플라빈), 비타민B6(피리독신염산염) · 다음 증상의 완화: 구각염(입꼬리염), 구순염(입술염), 구내염(입안염), 설염(혀염), 습진, 피부염 ○ 아연의 보급"
렉스펜에스정,"신경통, 요통(허리통), 어깨결림"
렌탈정(수출용),"소화불량, 식욕감퇴(식욕부진), 과식, 식체(위체), 소화촉진, 소화불량으로 인한 위부팽만감, 가스제거"
렘피드캡슐(에르도스테인),급ㆍ만성 호흡기질환에서의 점액용해 및 거담
렛잇비프로원정,"1. 다음 경우의 비타민 D, E, B1, B2, B6의 보급 - 육체피로 - 임신 · 수유기 - 병중 · 병후(병을 앓는 동안이나 회복 후)의 체력저하시 - 발육기 - 노년기 2. 이 약에 함유된 비타민 등의 효능 · 효과는 다음과 같다. - 뼈, 이의 발육불량 - 구루병의 예방 - 다음 증상의 완화 : 신경통, 근육통, 관절통(요(허리)통, 어깨결림 등), 구각염(입꼬리염), 구순염(입술염), 구내염(입안염), 설염(혀염), 습진, 피부염 - 각기 - 눈의피로 3. 아연의 보급"
렛잇비프로정,"1. 다음 경우의 비타민 D, E, B1, B2, B6의 보급 - 육체피로 - 임신 · 수유기 - 병중 · 병후(병을 앓는 동안이나 회복 후)의 체력저하시 - 발육기 - 노년기 2. 이 약에 함유된 비타민 등의 효능 · 효과는 다음과 같다. - 뼈, 이의 발육불량 - 구루병의 예방 - 다음 증상의 완화 : 신경통, 근육통, 관절통(요(허리)통, 어깨결림 등), 구각염(입꼬리염), 구순염(입술염), 구내염(입안염), 설염(혀염), 습진, 피부염 - 각기 - 눈의피로 3. 아연의 보급"
로게인5%폼에어로졸(미녹시딜),남성형 탈모증(안드로젠탈모증) 및 여성형 탈모증(안드로젠탈모증)의 치료
로그펜정400밀리그람(이부프로펜)(수출용),"류마티양 관절염, 연소성 류마티양 관절염, 골관절염(퇴행성 관절질환), 감기로 인한 발열 및 동통, 요통, 월경곤란증, 수술후 동통 강직성 척추염, 두통, 치통, 근육통, 신경통, 급성통풍, 건선성 관절염, 연조직손상(염좌, 좌상), 비관절 류마티스질환(건염, 건초염, 활액낭염) 어린이 급성 상기도염의 발열"
로나코프연질캡슐,"감기의 제증상(여러증상)(인후(목구멍)통, 기침, 가래, 오한(춥고 떨리는 증상), 발열, 두통, 관절통, 근육통)의 완화"
로나콜연질캡슐,"감기의 제증상(여러증상)(콧물, 코막힘, 재채기, 인후(목구멍)통, 기침, 가래, 오한(춥고 떨리는 증상), 발열, 두통, 관절통, 근육통)의 완화"
로다인정(로라타딘),"알레르기성 비염(재채기, 코막힘, 가려움, 눈의 작열감), 만성 특발성 두드러기"
로라디온정(로라타딘),"알레르기성 비염(재채기, 코막힘, 가려움, 눈의 작열감), 만성 특발성 두드러기"
로라딘연질캡슐(로라타딘),"1. 알레르기성 비염 증상(재채기, 콧물, 가려움, 눈의 작열감)의 일시적인 완화 2. 만성 특발성 두드러기 증상 완화"
로라샷연질캡슐(로라타딘),"1. 알레르기성 비염 증상(재채기, 콧물, 가려움, 눈의 작열감)의 일시적인 완화 2. 만성 특발성 두드러기 증상 완화"
로라젠정(로라타딘),"알레르기성 비염(재채기, 코막힘, 가려움증, 눈의 작열감), 만성 특발성 두드러기"
로리딘정(로라타딘),"알레르기성 비염(재채기, 코막힘, 가려움, 눈의 작열감), 만성 특발성 두드러기"
로마릴네일라카(아모롤핀염산염),"피부사상균, 효모균 및 곰팡이에 의한 조갑진균증(손발톱진균증) (감염부위가 조갑(손발톱) 표면의 80% 이하인 경우)"
로마릴크림(아모롤핀염산염),"피부사상균증(백선) : 족부백선(무좀, 한포상백선), 고부백선(대퇴부백선)(완선(사타구니백선)), 서혜부백선, 체부백선(도장 부스럼, 소수포성(물집) 반상백선), 수부백선"
로마졸질정100mg(클로트리마졸),칸디다성 질염
로마졸크림(클로트리마졸),"예: 백선, 어루러기, 피부칸디다증, 칸디다성 외음염 및 칸디다성 귀두염"
로멜라인장용정(브로멜라인),"부종(부기)을 동반한 염증 증상의 완화, 외상(상처) 또는 수술 후의 부종(부기)"
로비탈연질캡슐,"1. 다음 경우의 비타민 E, B1, B2, B6, C의 보급 2. 이 약에 함유된 비타민 등의 효능, 효과는 다음과 같다. •비타민E(토코페롤아세테이트)"
로세릴네일라카(아모롤핀염산염),"피부사상균, 효모균 및 곰팡이에 의한 조갑진균증 (감염부위가 조갑 표면의 80% 이하인 경우)"
로세릴크림(아모롤핀염산염),"피부사상균증(백선) : 족부백선(무좀, 한포상백선), 고부백선(완선), 서혜부백선, 체부백선(도장 부스럼, 소수포성 반상백선), 수부백선"
로시놀겔(테르비나핀),"Microsporum canis 및 Epidermophyton floccosum과 같은 피부사상균에 의한 피부진균[곰팡이] 감염증 : 족부백선[무좀], 고부백선[대퇴부백선], 체부백선"
로시놀더블액션크림,"피부사상균에 의한 피부진균감염증 : 무좀, 완선(사타구니백선), 백선"
로시놀액(나프티핀염산염),"다음의 피부진균증 1) 백선 : 족부백선, 수부백선, 고부백선(완선), 체부백선 2) 피부칸디다증 3) 어루러기 4) 조갑(손ㆍ발톱) 진균증"
로시덴겔(피록시캄),"다음 질환 및 증상의 진통ㆍ소염 : 퇴행성관절염(골관절염), 어깨관절주위염, 건ㆍ건초염, 건주위염, 상완골상과염(테니스 엘보우 등), 근육통(근염, 근막염 등), 외상후의 종창ㆍ동통 퇴행성관절염(골관절염), 건초염, 근육통, 골관절통, 외상후 동통 및 골절치유후의 동통"
로시파인겔(피록시캄),다음 질환 및 증상의 진통·소염(항염) :
로아펜에스연질캡슐,"1. 두통, 치통, 발치후 동통(통증), 인후통, 귀의 통증, 관절통, 신경통, 요통, 근육통, 견통(어깨결림), 타박통, 골절통, 염좌통(삠통증), 월경통(생리통), 외상통의 진통 2. 오한, 발열시의 해열"
로아펜에프연질캡슐,"1. 두통, 치통, 발치후 동통(통증), 인후통, 귀의 통증, 관절통, 신경통, 요통, 근육통, 견통(어깨결림), 타박통, 골절통, 염좌통(삠통증), 월경통(생리통), 외상통의 진통 2. 오한, 발열시의 해열"
로아펜연질캡슐,"1. 두통, 치통, 발치후 동통(통증), 인후통, 귀의 통증, 관절통, 신경통, 요통, 근육통, 견통(어깨결림), 타박통, 골절통, 염좌통(삠통증), 월경통(생리통), 외상통의 진통 2. 오한, 발열시의 해열"
로얄비타연질캡슐,- 육체피로 - 임신ㆍ수유기 - 병중ㆍ병후(병을 앓는 동안이나 회복 후)의 체력저하시 - 노년기 - 이 약에 함유된 비타민 등의 효능ㆍ효과는 다음과 같다.
로얄스타진크림,"알레르기 피부염, 화장독, 땀띠, 가려움, 접촉피부염(기저귀 발진), 면도 자극, 피부 거칠어짐 방지"
로얄코티크림,"알레르기 피부염, 화장독, 땀띠, 가려움, 접촉피부염(기저귀발진), 면도 자극, 피부 거칠어짐 방지"
로얄톡크림,"알레르기 피부염, 화장독, 땀띠, 가려움, 접촉피부염(기저귀발진), 면도 자극, 피부 거칠어짐 방지"
로얄플러스크림,"알레르기 피부염, 화장독, 땀띠, 가려움, 접촉피부염(기저귀발진), 면도 자극, 피부 거칠어짐 방지"
로와치넥스캡슐,"신증, 요로결석증의 보조요법"
로와콜연질캡슐,"담석증, 담석 수술 후 결석 재발방지"
로이디펜캡슐,"설사, 묽은 변, 체함, 토사"
로이디펜큐캡슐,"설사, 복통(배아픔)을 수반하는 설사, 체함, 묽은 변, 토사"
로이솔정(암브록솔염산염),"(정제)(캡슐제)(시럽제)(흡입제) 점액분비장애로 인한 다음의 급·만성 호흡기질환 : 급·만성기관지염, 천식성기관지염"
로이코비에스액,"다음의 경우에 사용한다: ㆍ 거대적아구성 빈혈 치료 보조 또는 임신, 분만 후, 수유 시 ㆍ 병후(병을 앓고 난 회복 후) 회복기 ㆍ 특정 영양소 부족에 대한 결핍증후군 또는 식이 불균형 상태 ㆍ 간염의 후유증, 간기능 저하, 독소성 감염 상태의 치료 보조 ㆍ 항생제 치료시"
로이히츠보코코인플라스타,"다음 증상의 진통 소염:어깨결림, 요통(허리 통증), 타박상, 삠, 관절통, 근육통, 동창(언 상처), 골절통"
로젠연질캡슐(나프록센),"류마티양 관절염, 골관절염(퇴행성 관절질환), 강직성 척추염, 건(힘줄)염, 급성통풍, 월경곤란증 활액낭염, 골격근장애(염좌(삠), 좌상, 외상, 요천통), 수술후 동통(통증), 편두통, 발치후 동통(통증)"
로젤민연질캡슐(수출명:EROJELLMIN),"다음 경우의 비타민 B1, B2, B6, C, E의 보급 - 육체피로, 임신ㆍ수유기, 병중ㆍ병후의 체력저하시, 노년기 말초혈행장애 및 갱년기시 다음 증상의 완화 - 어깨ㆍ목결림, 수족저림ㆍ수족냉증(손발이 차가움)"
로콜연질캡슐,"비만증, 당뇨성ㆍ본태성 고콜레스테롤혈증에 의한 지질대사 개선"
로키겔(리도카인),남성 성기 촉각의 예민성 감소
로타인정(로라타딘),"알레르기성 비염(재채기, 코막힘, 가려움, 눈의 작열감), 만성 특발성 두드러기"
로토씨큐브아쿠아차지아이점안액,"눈의 피로, 누액[눈물]의 보조(눈의 건조), 하드콘택트 렌즈 또는 소프트 콘택트렌즈를 착용했을때의 불쾌감, 눈의 침침함(눈꼽이 많이 낄 때 등)"
로토지파이뉴점안액,"눈의 피로, 결막충혈, 눈병예방(수영후, 먼지나 땀이 눈에 들어간 때등), 자외선 및 기타의 광선에 의한 눈염증(설안염[눈(snow)에 의한 눈의 염증]등), 안검염(눈꺼풀의 진무름), 하드콘택트렌즈 착용시의 불쾌감, 눈의 가려움, 눈의 침침함(눈곱이 많이 낄때등)"
"로파미드캡슐(로페라미드염산염)(수출명:필로파미드캡슐,키루페미드캡슐)","급성설사, 만성설사"
로파인캡슐(로페라미드염산염),"급성설사, 만성설사"
로페도에프캡슐,"설사, 복통(배아픔)을 수반하는 설사, 체함, 묽은 변, 토사"
로페라신캡슐,"설사, 복통(배아픔)을 수반하는 설사, 묽은 변, 토사"
로페라킴캡슐(로페라미드염산염),"급성설사, 만성설사"
로페랄연질캡슐,"1. 다음 경우의 비타민 E, B1, B2, B6, C의 보급 - 육체피로 - 임신·수유기 - 병중·병후(병을 앓는 동안이나 회복 후)의 체력저하시 - 노년기 2. 이 약에 함유된 비타민 등의 효능, 효과는 다음과 같다. ·비타민E(토코페롤아세테이트) - 말초혈행장애 및 갱년기시 다음 증상의 완화 : 어깨·목결림, 수족저림·수족냉증(손발이 차가움)"
로페리놀에스캡슐,"설사, 복통(배아픔)을 수반하는 설사, 체함, 묽은 변, 토사"
로페리캡슐(로페라미드염산염),"1. 주효능 효과 급성설사, 만성설사"
로페시콘츄정,"장내 가스에 기인한 복부팽만감, 경련을 수반하는 설사 증상 조절"
로푸록스네일라카(시클로피록스),"조갑진균증(손발톱진균증)(손, 발톱무좀)"
로프민캡슐(로페라미드염산염),"급성설사, 만성설사"
로피딘캡슐(로페라미드염산염)(수출용),"급성설사, 만성설사"
록센씬젤카타플라스마(록소프로펜나트륨수화물),"다음 질환 및 증상의 진통ㆍ소염: 퇴행성관절염(골관절염), 근육통, 외상후의 종창, 통증"
록센플라스타(록소프로펜나트륨수화물)(수출명: Loxen Plaster),"다음 질환 및 증상의 진통ㆍ소염: 퇴행성관절염(골관절염), 근육통, 외상후의 종창, 통증"
록소나첩부제(록소프로펜나트륨수화물),"다음 질환 및 증상의 진통ㆍ소염: 퇴행성관절염(골관절염), 근육통, 외상후의 종창, 통증"
록소나카타플라스마(록소프로펜나트륨수화물),"다음 질환 및 증상의 진통ㆍ소염: 퇴행성관절염(골관절염), 근육통, 외상후의 종창, 통증"
록소앤겔(록소프로펜나트륨수화물),"요통, 어깨 결림에 따른 어깨 통증, 관절통, 근육통, 건초염(손․ ∙ 손목 통증),  팔꿈치 통증(테니스 엘보우 등), 타박상, 염좌(삠)"
록소앤로션(록소프로펜나트륨수화물)(수출용),"요통, 어깨 결림에 따른 어깨 통증, 관절통, 근육통, 건초염(손∙ 손목 통증), 팔꿈치 통증(테니스 엘보우 등), 타박상, 염좌(삠)"
록소케어카타플라스마(록소프로펜나트륨),"다음 질환 및 증상의 진통ㆍ소염(항염): 퇴행성관절염(골(뼈)관절염), 근육통, 외상(상처)후의 종창(부기), 통증"
록소크린플라스타(록소프로펜나트륨수화물),"다음 질환 및 증상의 진통ㆍ소염(항염): 퇴행성관절염(골관절염), 근육통, 외상(상처)후의 종창(부기), 통증"
록소톱카타플라스마(록소프로펜나트륨수화물),"다음 질환 및 증상의 진통ㆍ소염: 퇴행성관절염(골관절염), 근육통, 외상(상처)후의 종창(부기), 통증"
록소프린플라스타(록소프로펜나트륨수화물),"다음 질환 및 증상의 진통ㆍ소염(항염): 퇴행성관절염(골관절염), 근육통, 외상(상처)후의 종창(부기), 통증"
록솔정(암브록솔염산염),"점액분비장애로 인한 다음의 급·만성 호흡기질환 : 급·만성기관지염, 천식성기관지염"
록펜텍카타플라스마(록소프로펜나트륨수화물),"다음 질환 및 증상의 진통ㆍ소염(항염): 퇴행성관절염(골(뼈)관절염), 근육통, 외상(상처)후의 종창(부기), 통증"
록펜텍플라스타(록소프로펜나트륨수화물),"다음 질환 및 증상의 진통ㆍ소염(항염): 퇴행성관절염(골(뼈)관절염), 근육통, 외상후의 종창(부기), 통증"
롤핀네일라카(아모롤핀염산염),"피부사상균, 효모균 및 곰팡이에 의한 조갑진균증(손발톱진균증) (감염부위가 조갑(손발톱) 표면의 80% 이하인 경우)"
롱카인크림(리도카인),남성 성기 촉각의 예민성 감소
롱크림(벤조카인)(수출용),남성 성기 촉각의 예민성감소
롱크림5%(벤조카인)(수출용),남성 성기 촉각의 예민성감소
루마겔(케토프로펜),"다음 질환 및 증상의 진통ㆍ소염 : 퇴행성관절염(골관절염), 어깨관절주위염, 건ㆍ건초염, 건주위염, 상완골상과염(테니스 엘보우 등), 근육통, 외상후의 종창ㆍ동통"
루마칼플러스 연질캡슐,"- 육체피로 - 임신ㆍ수유기 - 병중ㆍ병후(병을 앓는 동안이나 회복 후)의 체력저하시 - 노년기 - 말초혈행장애 및 갱년기시 다음 증상의 완화 : 어깨ㆍ목결림, 수족저림ㆍ수족냉증(손발이 차가움) - 다음 증상의 완화 : 신경통, 근육통, 관절통(요통, 어깨결림 등), 구각염(입꼬리염), 구순염(입술염), 구내염(입안염), 설염(혀염), 습진, 피부염 - 각기 - 눈의 피로"
루마트-이정(수출용),급성의 단순 말라리아 감염 치료
루마트정(수출용),급성의 단순 말라리아 감염 치료
루미니슈프림첩부제(과산화수소수35%)(수출용)(수출명: Luminee Teeth Whitening Strips-Supreme),치아미백
루미니프리미엄첩부제(과산화수소수35%)(수출용)(수출명: Luminee Teeth Whitening strips-Premium),치아미백
루미파이점안액0.025%(브리모니딘타르타르산염),경미한 자극에 의한 눈 충혈 완화
루브리칸트안연고(수출용),"- 안구건조 또는 바람, 태양 노출로 인한 작열감, 자극, 그리고 불편함의 일시적 완화 - 그 외의 자극으로부터 보호하기 위해 사용될 수 있다."
루브리칸트에스티안연고(수출용),- 안구 자극 및 작열감 일시적 완화 - 안구 자극 악화 예방을 위한 윤활제
루브리칸트프레쉬안연고(수출용),- 안구의 작열감 예방 - 안구건조 경감
루브릭쿨점안액(카르복시메틸셀룰로오스나트륨),"눈의 건조 또는 바람·태양에 의한 화끈거리는 증상, 자극감, 불쾌감의 일시적 완화. 눈의 자극감 예방"
루비돌플러스캡슐,"치주치료 후 치은염, 경·중등도 치주염의 보조치료"
루비로펜카타플라스마(플루르비프로펜),"다음 질환 및 증상의 진통∙소염(항염) : 퇴행성관절염(골관절염), 어깨관절주위염, 건(힘줄)·건초염(힘줄윤활막염), 상완골(위팔뼈)상과염(테니스 엘보우 등), 근육통, 외상(상처)후의 종창(부기)·동통(통증)"
루스트라크림4%(히드로퀴논),"다음과 같은 과도한 색소 침착 피부의 점차적인 표백 : 간반, 흑피증(기미), 주근깨, 노인성 검은반점, 기타 불필요한 부위의 과도한 멜라닌 색소 침착"
루치온정100mg(글루타티온(환원형)),약물중독
루치온정50밀리그램(글루타티온(환원형)),약물중독
루타인점안액(폴리데옥시리보뉴클레오티드나트륨)(1회용),"1) 영양부족으로 인한 각막, 결막의 궤양성 질환에 영양공급 2) 콘택트렌즈 착용 등으로 인한 각막, 결막의 미세손상"
루페인플라스타(플루르비프로펜),"다음 질환 및 증상의 진통, 소염(항염) - 퇴행성관절염(골관절염), 어깨관절주위염, 건ㆍ건초염(힘줄윤활막염), 상완골(위팔뼈)상과염 (테니스엘보우 등), 근육통, 외상후의 종창(부기)ㆍ동통(통증)"
루피엔연질캡슐(이부프로펜),"- 감기로 인한 발열 및 동통(통증), 요통, 생리통, 류마티양 관절염, 연소성(어리거나 젊은나이에 나타나는) 류마티양 관절염, 골관절염(퇴행성 관절질환), 수술후 동통(통증) - 두통, 편두통, 치통, 근육통, 신경통, 강직성 척추염, 급성통풍, 건선(마른비늘증)성 관절염, 연조직손상(염좌(삠), 좌상(타박상/멍)), 비관절 류마티스질환[건염(힘줄염), 건초염(힘줄윤활막염), 활액(윤활)낭염]"
루핑점안액(1회용),"눈의 피로, 누액의 보조(눈의 건조), 하드콘택트렌즈 또는 소프트렌즈 착용시 불쾌감, 눈의 침침함.(눈곱이 많을 때 등)"
